"","species","family","skeletaldensityMin","skeletaldensityMax","growthrateMin","growthrateMax","corallitewidthMin","corallitewidthMax","colonydiameterMin","colonydiameterMax","polypfecundityMin","polypfecundityMax","eggsizeMin","eggsizeMax","photosynthesisMin","photosynthesisMax","surfaceareaMin","surfaceareaMax","BRI"
"1","Acanthastrea brevis","Lobophylliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acanthastrea echinata","Lobophylliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.14"
"3","Dipsastraea faviaformis","Merulinidae",NA,NA,NA,NA,10.3,20.6,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Acanthastrea hemprichii","Lobophylliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"5","Homophyllia bowerbanki","Lobophylliidae",NA,NA,NA,NA,20,25,150,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Micromussa lordhowensis","Lobophylliidae",NA,NA,NA,NA,7.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Acanthastrea regularis","Lobophylliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Acanthastrea rotundoflora","Lobophylliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Acanthastrea subechinata","Lobophylliidae",NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Acanthophyllia deshayesiana","Lobophylliidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Acropora abrolhosensis","Acroporidae",NA,NA,NA,NA,0.9,1.5,300,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Acropora abrotanoides","Acroporidae",NA,NA,NA,NA,0.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20"
"13","Acropora aculeus","Acroporidae",NA,NA,NA,NA,0.8,1,40,40,NA,NA,NA,NA,NA,NA,NA,NA,"17.69"
"14","Acropora acuminata","Acroporidae",NA,NA,NA,NA,0.6,1.2,100,200,NA,NA,NA,NA,NA,NA,NA,NA,"35.75"
"15","Acropora anthocercis","Acroporidae",NA,NA,NA,NA,0.8,1.3,50,100,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"16","Acropora aspera","Acroporidae",0.56,1.28,1.79247368421053,6.33605263157895,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.75"
"17","Acropora austera","Acroporidae",1.44,1.44,5.24166666666667,5.24166666666667,0.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.26"
"18","Acropora azurea","Acroporidae",NA,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Acropora bushyensis","Acroporidae",NA,NA,NA,NA,0.7,1.5,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Acropora cardenae","Acroporidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Acropora carduus","Acroporidae",NA,NA,NA,NA,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.69"
"22","Acropora caroliniana","Acroporidae",NA,NA,NA,NA,0.6,1,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Acropora cerealis","Acroporidae",NA,NA,-74.65,81.8,0.3,0.8,50,50,NA,NA,NA,NA,NA,NA,NA,NA,"48.63"
"24","Acropora chesterfieldensis","Acroporidae",NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Acropora clathrata","Acroporidae",NA,NA,NA,NA,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.99"
"26","Acropora cytherea","Acroporidae",NA,NA,-54.9740644631699,64.9282311298365,0.7,1,300,300,NA,NA,NA,NA,NA,NA,NA,NA,"42.48"
"27","Acropora dendrum","Acroporidae",NA,NA,NA,NA,0.5,1.2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Acropora digitifera","Acroporidae",-1.21,4.25,-6.46666666666667,12.7333333333333,0.6,1.6,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"31.84"
"29","Acropora divaricata","Acroporidae",NA,NA,-48.8412441028181,55.7579107694848,0.7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.06"
"30","Acropora donei","Acroporidae",NA,NA,NA,NA,0.8,1.4,200,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Acropora echinata","Acroporidae",NA,NA,NA,NA,0.5,1,150,150,NA,NA,NA,NA,NA,NA,NA,NA,"71.5"
"32","Acropora elegans","Acroporidae",NA,NA,NA,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Acropora elseyi","Acroporidae",NA,NA,7.5,14.7,0.6,0.9,50,50,NA,NA,NA,NA,NA,NA,NA,NA,"25.43"
"34","Acropora florida","Acroporidae",NA,NA,NA,NA,0.7,1.4,1500,1500,NA,NA,NA,NA,NA,NA,NA,NA,"45.69"
"35","Acropora gemmifera","Acroporidae",1.23,1.71,-7.9,11.9,1,1.6,NA,NA,6.448,6.448,NA,NA,NA,NA,NA,NA,"71.07"
"36","Acropora glauca","Acroporidae",1.172,1.748,NA,NA,0.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.35"
"37","Acropora grandis","Acroporidae",NA,NA,NA,NA,0.8,1.7,200,700,NA,NA,NA,NA,NA,NA,NA,NA,"24.23"
"38","Acropora granulosa","Acroporidae",NA,NA,NA,NA,0.4,0.9,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Acropora horrida","Acroporidae",0.56,1.16,NA,NA,0.6,1.5,200,200,NA,NA,NA,NA,NA,NA,NA,NA,"19.4"
"40","Acropora humilis","Acroporidae",1.05,1.76,-36.8902777777778,40.2597222222222,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.14"
"41","Acropora hyacinthus","Acroporidae",1.03015204623612,1.52984795376388,-161.252830996647,174.691719885536,0.4,1.1,300,300,5.576,5.576,0.0472,0.1522,NA,NA,NA,NA,"35.71"
"42","Acropora intermedia","Acroporidae",NA,NA,NA,NA,0.8,1.5,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Acropora kirstyae","Acroporidae",NA,NA,NA,NA,0.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Acropora latistella","Acroporidae",NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.27"
"45","Acropora listeri","Acroporidae",NA,NA,NA,NA,0.6,1,50,50,NA,NA,NA,NA,NA,NA,NA,NA,"18.46"
"46","Acropora longicyathus","Acroporidae",1.18,1.36,NA,NA,0.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.88"
"47","Acropora loripes","Acroporidae",NA,NA,NA,NA,0.5,1.2,40,50,NA,NA,NA,NA,NA,NA,NA,NA,"9.38"
"48","Acropora lovelli","Acroporidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Acropora lutkeni","Acroporidae",NA,NA,NA,NA,0.6,1.2,600,600,NA,NA,NA,NA,NA,NA,NA,NA,"13.73"
"50","Acropora microclados","Acroporidae",NA,NA,NA,NA,0.6,1.2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"51","Acropora microphthalma","Acroporidae",NA,NA,NA,NA,0.6,1,200,200,NA,NA,NA,NA,NA,NA,NA,NA,"7.26"
"52","Acropora millepora","Acroporidae",NA,NA,NA,NA,0.4,1.6,NA,NA,5.139,5.139,NA,NA,NA,NA,NA,NA,"34.19"
